"","P_D","DISPERSAL_SIGMA","POP_SIZE","YEAR_SHAPE"
"1",0.496643437547224,0.0973915295554106,298.287575226113,0.984523534949885
"2",0.0359987692649773,1.07751449417444,140.262142543977,1.70966957286965
"3",0.129654813176596,0.417024413844554,156.910301370795,1.57400230718835
"4",0.377034205308092,0.287366919269791,313.875689765193,1.34772434437649
"5",-0.00797094982286567,0.581172530250675,151.232493288353,1.44046226173511
"6",0.0582361800473084,1.03739917404948,193.983495711481,1.69978649704641
"7",0.129017471421619,0.208343851930662,252.94823773454,1.67937880956476
"8",0.416290660120891,1.64768963564201,67.7914970614756,1.38561956722167
"9",0.406979113755992,1.06010922573379,63.4733345571918,1.12139317920039
"10",0.286780378466826,1.41394775915097,83.9332757526944,1.27061330581228
"11",0.448182065652742,0.576997339162261,78.1353154821194,1.15761092080139
"12",0.260281253100517,1.21101565412664,28.6706891370607,1.26960623236561
"13",0.319081779992546,1.79141722831447,70.1581484065703,1.68028557574265
"14",0.466943593812359,0.490167271071193,266.711946804717,1.3386756710457
"15",0.397113978450852,0.915944310453332,41.7540020943116,1.19412231246058
"16",0.388405303624411,0.386768832341084,109.386032479872,1.12145409947208
"17",0.480247478053026,1.6876713278341,55.7730797546401,2.01100503220316
"18",0.312579326779647,0.750934960184508,87.4359348665884,1.61545953004557
"19",0.352466069475238,0.46912788913925,222.169876614408,1.79951731662568
"20",0.120812568043923,1.03386541259074,102.800124421583,1.81321611978126
"21",0.363579964700101,0.473615051684331,115.299738472488,1.57247857336768
"22",0.478707210234578,0.851181423646485,81.5763407198502,1.35937371855999
"23",0.331694653024591,0.35452189719081,244.754051775708,1.41002869070886
"24",0.0809826990554928,0.601597751166251,15.5451759809935,1.96971061499544
"25",-0.00218122020317019,0.822338160919287,32.8998925802885,1.14237354198674
"26",0.443564284937107,1.93143660930363,68.5049010318671,1.26633906194039
"27",0.42093989617738,1.95251950749252,128.71402557408,1.45714121661513
"28",0.372150464748441,0.286014878216073,207.351387023115,1.40297494241647
"29",0.267498259815992,0.677220222266549,186.441092894502,2.04333945741229
"30",0.183196591643522,0.98454332662185,54.9619087752081,1.76481310934627
