"POP_SIZE","DISPERSAL_SIGMA","P_D","YEAR_SHAPE","id","run","slope","slope_patches","init_indivs","init_patches","num_gens","num_individuals","num_juveniles","num_patches","num_hops_mean","num_hops_sd","prop_dispersers","distance_mean","distance_sd","children_mean","children_sd"
234.326281864196,1.71056415122002,0.267652565311437,1.50423849397339,"run000228","sim_runs/run000228/sim_2860522394237.log",2216.9552532833,9.740712945591,22730,431,40,108082,275074,703,4.02854,12.3762,0,0.369193,1.00632,4.99558,4.24682
122.628225628287,1.39433347904123,0.221256772863853,1.85851242067292,"run000229","sim_runs/run000229/sim_2646681372812.log",858.594934333959,8.03939962476548,11895,287,40,39825,100973,428,3.18047,11.1454,0,0.234697,0.740593,4.96157,4.26935
200.808459883556,0.227890833094716,0.37501426126255,1.39270591665991,"run000230","sim_runs/run000230/sim_4195770101449.log",78.4979362101313,1.14043151969981,19479,132,40,13935,33666,140,5.55698,13.393,0,0.0660592,0.134247,4.98313,4.23741
93.174034692347,0.482931613037363,0.211218244578049,1.38277175743133,"run000231","sim_runs/run000231/sim_1979351697370.log",215.748311444653,2.35909943714822,9038,145,40,14112,34640,170,2.09957,8.73336,0,0.0538711,0.202439,5.02247,4.28189
75.4661802761257,0.717947981040925,0.26187762259724,1.58585934643634,"run000232","sim_runs/run000232/sim_2773111974017.log",266.466228893058,4.41003752345216,7321,148,40,14708,37093,240,2.69402,10.1827,0,0.10427,0.361471,4.96128,4.2817
290.753684993833,0.692094317963347,0.283796877105488,1.92823835043237,"run000233","sim_runs/run000233/sim_2711521673262.log",2175.58930581614,16.8939962476548,28204,231,40,89175,220503,748,3.75556,11.7072,0,0.137845,0.384464,4.98859,4.24168
164.370083259419,1.22282234309241,0.311785941292328,1.24461040087044,"run000234","sim_runs/run000234/sim_1887262394227.log",1626.17664165103,9.08480300187617,15944,302,40,71682,183049,547,4.14425,12.4737,0,0.270208,0.729493,4.96438,4.2771
163.383689792827,0.510225996607915,0.301765207579592,1.98967737122439,"run000235","sim_runs/run000235/sim_1750779979656.log",790.28808630394,8.93649155722326,15849,168,40,35073,87878,382,3.81561,11.7451,0,0.101085,0.277278,4.97371,4.268
304.488202892244,0.521913788188249,0.388009669833991,1.26065201847814,"run000236","sim_runs/run000236/sim_4255440525205.log",2738.68621013133,18.5396810506567,29536,196,40,115354,293178,794,4.8736,12.8665,0,0.131839,0.309831,4.9668,4.19212
119.325754269958,0.386840556841344,0.0201679863639583,1.27970262127928,"run000237","sim_runs/run000237/sim_1772930120836.log",-31.4771106941838,-0.503001876172607,11575,141,40,8391,22357,61,0.211561,2.52038,0,0.00446864,0.0535066,5.03649,4.28271
