"","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"1",409546.179921891,524938.94285904,0.491910988222603,0.459934814462292,69638.732553434,5134.87339688518,8224.321853241,12116.3791138437,3.09927002441008e-09,162.44407791326,0.299578730256771,0.508805349959461,1.05946616360934
"2",391854.019076722,650780.430550967,0.547402764940174,0.39676413938028,25297.3266079637,7589.07324470924,4890.77935836597,12117.1559105324,3.45844478807644e-09,100.332517078848,0.436282884961238,1.02084482233389,1.7359901549499
"3",388339.972779361,686729.679259785,0.571125029422872,0.365854220260181,8944.37475302716,5531.82513777711,1577.13522294976,12128.6242717974,3.60221137003269e-09,104.483920925382,0.443930765048065,1.29567539244785,1.82895202875917
"4",375093.475732975,538096.521995562,0.538840251069191,0.408740135647711,61624.0647863583,5289.35482597811,12123.696921422,12134.514740433,4.29679236760141e-09,137.599554594332,0.0913797191008876,1.29754669416982,1.84009665292401
"5",396210.737177088,656263.561668919,0.544823017415618,0.404590258966395,19762.8676908178,5072.4025961147,8978.57994750938,12131.3314240711,4.08699202539424e-09,78.4683554876046,0.200822959857831,1.89108868427191,1.30125143975538
"6",398453.481417234,622668.687654921,0.472777613298322,0.489957003866348,37185.8919831662,7239.13672097492,7932.15262659846,12127.0987041075,3.31506971694076e-09,100.3502606274,0.435847459750034,1.02058596387881,1.73575747730698
"7",416121.135084745,546984.380145782,0.580503487837331,0.352711276154822,56826.686004349,5748.24659509985,1256.95514200131,12129.814838721,3.4393972270498e-09,78.4683601549399,0.20082298646162,1.89108876069427,1.3012513843963
"8",389512.521617043,597535.13813929,0.563198139571157,0.37915171908456,38861.3096879468,7649.12606692436,12021.1674918959,12124.32841994,3.30846708792814e-09,124.5211,0.224451865026945,0.8641,1.68167562706262
"9",400435.458043293,666909.492825671,0.573614270251186,0.365499236601278,14236.5712381591,9326.57266837652,6120.9786265851,12124.5439947709,3.5778383308068e-09,90.229786755485,0.309643033317252,1.10932857683559,1.18077896351931
"10",388242.7936242,674500.798200612,0.567691351311528,0.371591971223018,12723.7506186611,2412.04060532566,3339.11614466757,12125.1223364969,3.13774008505341e-09,121.368744504221,0.135279641642515,0.873890303020825,1.06134103362561
"11",415981.402974134,547187.730995811,0.580606300481434,0.352557997946013,56754.4131037891,5756.9806730954,1251.50198151744,12129.9457438467,3.43849262052228e-09,78.4871331676635,0.200469328520722,1.89031325854433,1.301687333513
"12",412822.305701039,661707.140817457,0.592434146968176,0.338353239495989,15411.4793989237,9599.91103976852,1222.38760623593,12122.5131771861,3.94035023935831e-09,100.361715616669,0.435778003120785,1.02001958234808,1.73678244020762
"13",382272.438822989,637758.60488924,0.469578558630333,0.494676092250722,22653.1820387583,9831.46944446308,4770.55541016838,12124.6632497377,2.88740187135273e-09,118.662710647777,0.141440570443137,0.907942296400014,1.06054805726526
"14",420062.238136967,656318.75520861,0.590909622101466,0.340358651558001,20742.8640212143,1783.51521897117,4201.1714140858,12130.2702936526,4.45108286809511e-09,75.0833942701661,0.368447481895576,1.99511216250123,1.3207000042636
"15",393774.455599466,523431.11450517,0.571342357804288,0.368679785418062,76345.6023735004,9964.11325049642,2668.32637312275,12118.9775532136,3.31079878810415e-09,98.5490549027495,0.254261671923733,1.28218765896494,1.99175787709142
"16",388684.00475506,572151.007126782,0.544512692289262,0.406780883122932,49412.5163682865,6633.99632171785,1933.90755786104,12122.9373712016,3.50439129929834e-09,75.0353,0.3685,1.9964,1.3201846487018
"17",374010.56515572,571478.470866888,0.556201601483233,0.389882483598883,49787.5886006851,8526.2759549263,3706.00309664286,12124.8845319447,2.89168631753415e-09,121.360888678998,0.135385115343974,0.874589970437247,1.06037133772373
"18",408991.71280502,516102.441509312,0.538523780981919,0.413285133911435,79891.684222323,1797.62119663044,3494.72915143273,12121.3125694777,2.96845821296334e-09,90.2061880392464,0.309678458190351,1.10990486773183,1.18086310503838
"19",424539.413607576,619136.890462913,0.60007358703756,0.325160242230156,37208.3957859908,1871.94524853095,3960.22533511089,12118.4859960648,3.40908169985447e-09,121.355955145933,0.1353,0.874526792641631,1.06099616909664
"20",422887.289251343,596806.466018983,0.576161139373926,0.360870981711983,35726.9643078785,5854.46348918909,900.287460277085,12134.6420636579,3.37560649972301e-09,98.5659301334369,0.25398289997097,1.27785037394223,1.99252889504287
"21",394123.710619662,523570.012220349,0.571935856952624,0.368597536284485,76264.9615109313,9926.09743485388,2663.55845599658,12118.5514685049,3.71910590677215e-09,98.4807991097751,0.254569351458601,1.28454593476176,1.99074105621091
"22",405167.959845771,679609.31965683,0.589514458885901,0.334411789476936,14394.3108952059,1380.37620279388,4764.07577823977,12125.3089599818,2.97374747751017e-09,100.506424110566,0.126,1.30053051528645,1.53108342415796
"23",416390.63199306,675954.491075461,0.505952350633246,0.451671467168427,15927.0214629733,3122.65402870858,8171.99319958544,12128.4050566609,3.76805046303611e-09,86.5603,0.170902477699981,1.3566,1.07878985572161
"24",388060.808193131,629484.381662556,0.568363734892443,0.365666462004895,21644.9963026557,1702.66819982841,3271.29517570527,12124.6790373963,3.83069323400343e-09,100.84699801943,0.432813270914804,1.01503053397749,1.73634774983016
"25",408384.117482072,556846.356234753,0.532980204069886,0.419202310374928,52696.9445842141,3044.13162563442,1938.11593303362,12114.4408058699,4.02156507978864e-09,83.9996748073446,0.322144399121928,1.80782769130027,1.69266855053743
"26",405098.742868967,577576.148398131,0.581553346448773,0.354323179316055,54420.9066727568,3012.89155834744,2581.55569059904,12132.0691251004,4.16223115585727e-09,78.4683480342879,0.200822984713029,1.8910889654425,1.30125143975538
"27",391299.826842096,541511.185305316,0.46113613510147,0.497092201798161,49432.152368757,5438.45905770058,1020.72730689894,12125.1727353677,3.24307500012409e-09,104.409704359229,0.444056227782434,1.297369424975,1.82829267638664
"28",414354.079159783,629325.917555763,0.586469966253859,0.347215822968634,38090.2483299533,7566.19677797536,3512.6191884941,12122.1194222757,3.26748385987335e-09,100.494969121297,0.126025956642842,1.30113885344896,1.53084365143064
